Symbol,Name
AEFES,ANADOLU EFES
AFYON,AFYON ÇİMENTO
AKBNK,AKBANK
ALBRK,ALBARAKA TÜRK 
AKSA,AKSA
AKSEN,AKSA ENERJİ
ALARK,ALARKO HOLDİNG
ANSGR,ANADOLU SİGORTA
ARCLK,ARÇELİK
ASELS,ASELSAN
ANACM,ANADOLU CAM SANAYİ A.Ş
BIMAS,BİM MAĞAZALAR
BJKAS,BEŞİKTAŞ FUTBOL YAT.
BERA,BERA HOLDİNG A.Ş
DEVA,DEVA HOLDİNG
DOHOL,DOĞAN HOLDİNG
ECILC,ECZACIBAŞI İLAÇ
ECZYT,ECZACIBAŞI YATIRIM
EKGYO,EMLAK KONUT GMYO
ENKAI,ENKA İNŞAAT
EREGL,EREĞLİ DEMİR CELİK
FENER,FENERBAHÇE SPORTİF
FROTO,FORD OTOSAN
GARAN,GARANTİ BBVA
GLYHO,GLOBAL YAT. HOLDİNG
GOLTS,GÖLTAŞ ÇİMENTO
GOODY,GOOD-YEAR
GOZDE,GÖZDE GİRİŞİM
GSDHO,GSD HOLDİNG
GSRAY,GALATASARAY SPORTİF
GUBRF,GÜBRE FABRİKALARI
HURGZ,HÜRRİYET GZT.
IHLAS,İHLAS HOLDİNG
IPEKE,İPEK DOĞAL ENERJİ
ISCTR,İŞ BANKASI (C)
ISGYO,İŞ GMYO
ITTFH,İTTİFAK HOLDİNG
KARSN,KARSAN OTOMOTİV
KCHOL,KOÇ HOLDİNG
KOZAA,KOZA ANADOLU MADENCİLİK
KOZAL,KOZA ALTIN
KRDMD,KARDEMİR (D)
METRO,METRO HOLDİNG
MGROS,MİGROS TİCARET
MPARK,MLP SAĞLIK HİZMETLERİ
NETAS,NETAŞ TELEKOM.
OTKAR,OTOKAR
PRKME,PARK ELEK.MADENCİLİK
PARSN,PARSAN MAKİNA SANAYİ
PETKM,PETKİM
PGSUS,PEGASUS HAVA TAŞIMACILIĞI
POLHO,POLİSAN HOLDİNG
SASA,SASA POLYESTER
SISE,ŞİŞE CAM
SKBNK,ŞEKERBANK
SODA,SODA SANAYİ A.Ş
SOKM,ŞOK MARKETLER
TAVHL,TAV HAVALİMANLARI
TCELL,TURKCELL
THYAO,TÜRK HAVA YOLLARI
TKFEN,TEKFEN HOLDİNG
TOASO,TOFAŞ OTO. FAB.
TRKCM,TRAKYA CAM
TTKOM,TÜRK TELEKOM
TUPRS,TÜPRAŞ
ULKER,ÜLKER GIDA
VAKBN,VAKIFLAR BANKASI
VESTL,VESTEL
YKBNK,YAPI VE KREDİ BANK.
YATAS,YATAŞ
ZOREN,ZORLU ENERJİ
